industry,aliases,keywords
信息技术,互联网|互联网/电子商务|计算机软件|软件和信息技术服务业|云计算|人工智能|大数据,互联网|软件|云计算|大数据|信息技术|电子商务|saas|ai|算法
教育培训,教育|教育/培训/院校|培训机构|高校|职业教育,教育|培训|学校|学院|课程|教研
智能制造,机械制造/机电/重工|制造业|智能制造|汽车制造|装备制造,制造|机械|汽车|自动化|工艺|质量|生产
电子通信,电子技术/半导体/集成电路|通信/电信/网络设备|通信设备|半导体,电子|通信|半导体|芯片|集成电路|硬件
金融财会,金融|银行|证券|保险|基金|会计/审计|财务,金融|银行|证券|保险|基金|风控|财务|会计|审计
建筑地产,房地产/建筑|建筑/建材/工程|房地产|土木工程,建筑|地产|工程|施工|造价|物业
医药健康,医疗/护理/卫生|医药/生物工程|医疗器械|医药健康,医疗|医药|医院|药品|生物|护理|健康
批发零售,批发/零售|零售|电商零售|贸易/进出口,零售|批发|门店|贸易|跨境|进出口
文化传媒,媒体/出版/影视/文化传播|广告/会展/公关|文化传媒,媒体|影视|广告|文案|内容|品牌|传播
交通物流,交通/运输/物流|物流/仓储|供应链,物流|运输|仓储|配送|供应链|货运
能源化工,能源/矿产/采掘/冶炼|石油/化工/矿产/地质|新能源,能源|化工|石油|矿产|电力|新能源
农林牧渔,农/林/牧/渔|农业|畜牧|渔业,农业|农林|畜牧|渔业|种植|养殖
公共服务,政府/公共事业|公共服务|非营利组织,政府|公共|事业单位|政务|城市治理
生活服务,生活服务|餐饮|酒店/旅游|居民服务,餐饮|酒店|旅游|生活服务|家政|美容
其他,其他|未标注,
